id	Biosample.Summary	Biosample	GROUP	SECONDARY	COLOR	category	infoline	age	sex	type	origin	perturb	lifestage	Project2
BSS01543	sigmoid colon female adult (53 years)	sigmoid colon	Digestive		#C58DAA	Tissue	SIGMOID COLON	53	female	tissue			adult	ENCODE
BSS01545	sigmoid colon male adult (34 years)	sigmoid colon	Digestive		#C58DAA	Tissue	SIGMOID COLON	34	male	tissue			adult	Roadmap 2015
BSS01548	sigmoid colon male child (3 years)	sigmoid colon	Digestive		#C58DAA	Tissue	SIGMOID COLON	3	male	tissue			child	Roadmap 2015
BSS01588	small intestine female adult (30 years)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	30	female	tissue			adult	Roadmap (Novel)
BSS01849	transverse colon female adult (53 years)	transverse colon	Digestive		#C58DAA	Tissue	TRANSVERSE COLON	53	female	tissue			adult	ENCODE
BSS00381	gastroesophageal sphincter female adult (53 years)	gastroesophageal sphincter	Digestive		#C58DAA	Tissue	GASTROESOPHAGEAL SPHINCTER	53	female	tissue			adult	ENCODE
BSS01599	small intestine male child (3 years)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	3	male	tissue			child	Roadmap 2015
BSS01649	stomach female embryo (96 days)	stomach	Digestive		#C58DAA	Tissue	STOMACH	96	female	tissue			embryonic	Roadmap 2015
BSS01654	stomach male child (3 years)	stomach	Digestive		#C58DAA	Tissue	STOMACH	3	male	tissue			child	Roadmap (Novel)
BSS01851	transverse colon male adult (54 years)	transverse colon	Digestive		#C58DAA	Tissue	TRANSVERSE COLON	54	male	tissue			adult	ENCODE
BSS01597	small intestine male adult (34 years)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	34	male	tissue			adult	Roadmap 2015
BSS01650	stomach female embryo (98 days)	stomach	Digestive		#C58DAA	Tissue	STOMACH	98	female	tissue			embryonic	Roadmap 2015
BSS01542	sigmoid colon female adult (51 year)	sigmoid colon	Digestive		#C58DAA	Tissue	SIGMOID COLON	51	female	tissue			adult	ENCODE
BSS01547	sigmoid colon male adult (54 years)	sigmoid colon	Digestive		#C58DAA	Tissue	SIGMOID COLON	54	male	tissue			adult	ENCODE
BSS01653	stomach male adult (54 years)	stomach	Digestive		#C58DAA	Tissue	STOMACH	54	male	tissue			adult	ENCODE
BSS01848	transverse colon female adult (51 year)	transverse colon	Digestive		#C58DAA	Tissue	TRANSVERSE COLON	51	female	tissue			adult	ENCODE
BSS00322	esophagus muscularis mucosa male adult (37 years)	esophagus muscularis mucosa	Digestive		#C58DAA	Tissue	ESOPHAGUS MUSCULARIS MUCOSA	37	male	tissue			adult	ENCODE
BSS00326	esophagus squamous epithelium male adult (37 years)	esophagus squamous epithelium	Digestive		#C58DAA	Tissue	ESOPHAGUS SQUAMOUS EPITHELIUM	37	male	tissue			adult	ENCODE
BSS01109	large intestine female embryo (103 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	103	female	tissue			embryonic	Roadmap (Novel)
BSS01110	large intestine female embryo (105 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	105	female	tissue			embryonic	Roadmap (Novel)
BSS01111	large intestine female embryo (107 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	107	female	tissue			embryonic	Roadmap (Novel)
BSS01112	large intestine female embryo (108 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	108	female	tissue			embryonic	Roadmap (Novel)
BSS01113	large intestine female embryo (110 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	110	female	tissue			embryonic	Roadmap (Novel)
BSS01114	large intestine female embryo (120 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	120	female	tissue			embryonic	Roadmap (Novel)
BSS01116	large intestine female embryo (91 day)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	91	female	tissue			embryonic	Roadmap (Novel)
BSS01117	large intestine female embryo (98 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	98	female	tissue			embryonic	Roadmap (Novel)
BSS01118	large intestine male embryo (105 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	105	male	tissue			embryonic	Roadmap (Novel)
BSS01120	large intestine male embryo (113 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	113	male	tissue			embryonic	Roadmap (Novel)
BSS01121	large intestine male embryo (115 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	115	male	tissue			embryonic	Roadmap (Novel)
BSS01122	large intestine male embryo (91 day)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	91	male	tissue			embryonic	Roadmap (Novel)
BSS01427	Peyer's patch female adult (51 year)	Peyer's patch	Digestive		#C58DAA	Tissue	PEYERS PATCH	37,51	male	tissue			adult	ENCODE
BSS01428	Peyer's patch male adult (54 years)	Peyer's patch	Digestive		#C58DAA	Tissue	PEYERS PATCH	54	male	tissue			adult	ENCODE
BSS01590	small intestine female embryo (105 days)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	105	female	tissue			embryonic	Roadmap (Novel)
BSS01591	small intestine female embryo (107 days)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	107	female	tissue			embryonic	Roadmap (Novel)
BSS01592	small intestine female embryo (108 days)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	108	female	tissue			embryonic	Roadmap (Novel)
BSS01593	small intestine female embryo (110 days)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	110	female	tissue			embryonic	Roadmap (Novel)
BSS01594	small intestine female embryo (120 days)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	120	female	tissue			embryonic	Roadmap (Novel)
BSS01595	small intestine female embryo (91 day)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	91	female	tissue			embryonic	Roadmap (Novel)
BSS01596	small intestine female embryo (98 days)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	98	female	tissue			embryonic	Roadmap (Novel)
BSS01600	small intestine male embryo (105 days)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	105	male	tissue			embryonic	Roadmap (Novel)
BSS01602	small intestine male embryo (115 days)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	115	male	tissue			embryonic	Roadmap (Novel)
BSS01603	small intestine male embryo (87 days)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	87	male	tissue			embryonic	Roadmap (Novel)
BSS01604	small intestine male embryo (91 day)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	91	male	tissue			embryonic	Roadmap (Novel)
BSS01636	stomach embryo (101 day)	stomach	Digestive		#C58DAA	Tissue	STOMACH	101	unknown/mixed	tissue			embryonic	Roadmap 2015
BSS01637	stomach female adult (30 years)	stomach	Digestive		#C58DAA	Tissue	STOMACH	30	female	tissue			adult	Roadmap (Novel)
BSS01638	stomach female adult (51 year)	stomach	Digestive		#C58DAA	Tissue	STOMACH	51	female	tissue			adult	ENCODE
BSS01641	stomach female embryo	stomach	Digestive		#C58DAA	Tissue	STOMACH	unknown	female	tissue			embryonic	Roadmap 2015
BSS01642	stomach female embryo (105 days)	stomach	Digestive		#C58DAA	Tissue	STOMACH	105	female	tissue			embryonic	Roadmap 2015
BSS01643	stomach female embryo (107 days)	stomach	Digestive		#C58DAA	Tissue	STOMACH	107	female	tissue			embryonic	Roadmap 2015
BSS01644	stomach female embryo (108 days)	stomach	Digestive		#C58DAA	Tissue	STOMACH	108	female	tissue			embryonic	Roadmap 2015
BSS01646	stomach female embryo (121 day)	stomach	Digestive		#C58DAA	Tissue	STOMACH	121	female	tissue			embryonic	Roadmap 2015
BSS01647	stomach female embryo (147 days)	stomach	Digestive		#C58DAA	Tissue	STOMACH	147	female	tissue			embryonic	Roadmap 2015
BSS01655	stomach male embryo (108 days)	stomach	Digestive		#C58DAA	Tissue	STOMACH	108	male	tissue			embryonic	Roadmap 2015
BSS01656	stomach male embryo (127 days)	stomach	Digestive		#C58DAA	Tissue	STOMACH	127	male	tissue			embryonic	Roadmap 2015
BSS01657	stomach male embryo (58 days) and male embryo (76 days)	stomach	Digestive		#C58DAA	Tissue	STOMACH	76,58	male	tissue			embryonic	ENCODE
BSS01658	stomach male embryo (91 day)	stomach	Digestive		#C58DAA	Tissue	STOMACH	91	male	tissue			embryonic	Roadmap 2015
BSS01835	thyroid gland male adult (54 years)	thyroid gland	Endocrine		#99C1FF	Tissue	THYROID GLAND	54	male	tissue			adult	ENCODE
BSS00055	adrenal gland male adult (37 years)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	37	male	tissue			adult	ENCODE
BSS00056	adrenal gland male adult (54 years)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	54	male	tissue			adult	ENCODE
BSS01399	ovary female adult (30 years)	ovary	Endocrine	Reproductive	#99C1FF	Tissue	OVARY	30	female	tissue			adult	Roadmap 2015
BSS01832	thyroid gland female adult (53 years)	thyroid gland	Endocrine		#99C1FF	Tissue	THYROID GLAND	53	female	tissue			adult	ENCODE
BSS01834	thyroid gland male adult (37 years)	thyroid gland	Endocrine		#99C1FF	Tissue	THYROID GLAND	37	male	tissue			adult	ENCODE
BSS00054	adrenal gland male adult (34 years)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	34	male	tissue			adult	Roadmap (Novel)
BSS00060	adrenal gland male embryo (97 days)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	97	male	tissue			embryonic	Roadmap 2015
BSS00281	endocrine pancreas adult (59 years)	endocrine pancreas	Endocrine	Pancreas	#99C1FF	Tissue	ENDOCRINE PANCREAS	59	unknown/mixed	tissue			adult	Roadmap (Novel)
BSS00284	endocrine pancreas male adult (46 years)	endocrine pancreas	Endocrine	Pancreas	#99C1FF	Tissue	ENDOCRINE PANCREAS	46	male	tissue			adult	Roadmap 2015
BSS00046	adrenal gland female adult (30 years)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	30	female	tissue			adult	Roadmap (Novel)
BSS01715	testis male adult (37 years)	testis	Endocrine	Reproductive	#99C1FF	Tissue	TESTIS	37	male	tissue			adult	ENCODE
BSS00048	adrenal gland female adult (53 years)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	53	female	tissue			adult	ENCODE
BSS01402	ovary female adult (53 years)	ovary	Endocrine	Reproductive	#99C1FF	Tissue	OVARY	53	female	tissue			adult	ENCODE
BSS01831	thyroid gland female adult (51 year)	thyroid gland	Endocrine		#99C1FF	Tissue	THYROID GLAND	51	female	tissue			adult	ENCODE
BSS00047	adrenal gland female adult (51 year)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	51	female	tissue			adult	ENCODE
BSS00283	endocrine pancreas male adult (45 years)	endocrine pancreas	Endocrine	Pancreas	#99C1FF	Tissue	ENDOCRINE PANCREAS	45	male	tissue			adult	Roadmap 2015
BSS00045	adrenal gland embryo (96 days)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	96	unknown/mixed	tissue			embryonic	Roadmap 2015
BSS00050	adrenal gland female embryo (108 days)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	108	female	tissue			embryonic	Roadmap (Novel)
BSS00051	adrenal gland female embryo (113 days)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	113	female	tissue			embryonic	Roadmap (Novel)
BSS00052	adrenal gland female embryo (85 days)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	85	female	tissue			embryonic	Roadmap (Novel)
BSS00057	adrenal gland male embryo (101 day)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	101	male	tissue			embryonic	Roadmap (Novel)
BSS00058	adrenal gland male embryo (108 days)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	108	male	tissue			embryonic	Roadmap (Novel)
BSS00059	adrenal gland male embryo (85 days)	adrenal gland	Endocrine		#99C1FF	Tissue	ADRENAL GLAND	85	male	tissue			embryonic	Roadmap (Novel)
BSS00282	endocrine pancreas male	endocrine pancreas	Endocrine	Pancreas	#99C1FF	Tissue	ENDOCRINE PANCREAS	unknown	male	tissue			unknown/mixed	Roadmap 2015
BSS01401	ovary female adult (51 year)	ovary	Endocrine	Reproductive	#99C1FF	Tissue	OVARY	51	female	tissue			adult	ENCODE
BSS01403	ovary female embryo	ovary	Endocrine	Reproductive	#99C1FF	Tissue	OVARY	unknown	female	tissue			embryonic	Roadmap (Novel)
BSS01718	testis male adult (54 years)	testis	Endocrine	Reproductive	#99C1FF	Tissue	TESTIS	54	male	tissue			adult	ENCODE
BSS01719	testis male embryo	testis	Endocrine	Reproductive	#99C1FF	Tissue	TESTIS	unknown	male	tissue			embryonic	Roadmap (Novel)
BSS00507	heart left ventricle female adult (53 years)	heart left ventricle	Heart		#D56F80	Tissue	HEART LEFT VENTRICLE	53	female	tissue			adult	ENCODE
BSS00087	ascending aorta female adult (51 year)	ascending aorta	Heart		#D56F80	Tissue	ASCENDING AORTA	51	female	tissue			adult	ENCODE
BSS00080	aorta male adult (34 years)	aorta	Heart		#D56F80	Tissue	AORTA	34	male	tissue			adult	Roadmap 2015
BSS00088	ascending aorta female adult (53 years)	ascending aorta	Heart		#D56F80	Tissue	ASCENDING AORTA	53	female	tissue			adult	ENCODE
BSS00512	heart left ventricle male adult (34 years)	heart left ventricle	Heart		#D56F80	Tissue	HEART LEFT VENTRICLE	34	male	tissue			adult	Roadmap 2015
BSS00513	heart left ventricle male child (3 years)	heart left ventricle	Heart		#D56F80	Tissue	HEART LEFT VENTRICLE	3	male	tissue			child	Roadmap 2015
BSS00525	heart right ventricle male child (3 years)	heart right ventricle	Heart		#D56F80	Tissue	HEART RIGHT VENTRICLE	3	male	tissue			child	Roadmap 2015
BSS01507	right atrium auricular region female adult (53 years)	right atrium auricular region	Heart		#D56F80	Tissue	HEART RIGHT ATRIUM	53	female	tissue			adult	ENCODE
BSS01814	thoracic aorta male adult (37 years)	thoracic aorta	Heart		#D56F80	Tissue	THORACIC AORTA	37	male	tissue			adult	ENCODE
BSS01815	thoracic aorta male adult (54 years)	thoracic aorta	Heart		#D56F80	Tissue	THORACIC AORTA	54	male	tissue			adult	ENCODE
BSS00079	aorta female adult (30 years)	aorta	Heart		#D56F80	Tissue	AORTA	30	female	tissue			adult	Roadmap (Novel)
BSS00524	heart right ventricle male adult (34 years)	heart right ventricle	Heart		#D56F80	Tissue	HEART RIGHT VENTRICLE	34	male	tissue			adult	Roadmap 2015
BSS01508	right cardiac atrium male adult (34 years)	right cardiac atrium	Heart		#D56F80	Tissue	HEART RIGHT ATRIUM	34	male	tissue			adult	Roadmap 2015
BSS01837	tibial artery female adult (53 years)	tibial artery	Heart		#D56F80	Tissue	TIBIAL ARTERY	53	female	tissue			adult	ENCODE
BSS00493	heart embryo (101 day)	heart	Heart		#D56F80	Tissue	HEART	101	unknown/mixed	tissue			embryonic	Roadmap 2015
BSS00243	coronary artery female adult (53 years)	coronary artery	Heart		#D56F80	Tissue	CORONARY ARTERY	53	female	tissue			adult	ENCODE
BSS00517	heart male embryo (105 days)	heart	Heart		#D56F80	Tissue	HEART	105	male	tissue			embryonic	Roadmap 2015
BSS00242	coronary artery female adult (51 year)	coronary artery	Heart		#D56F80	Tissue	CORONARY ARTERY	51	female	tissue			adult	ENCODE
BSS00521	heart male embryo (91 day)	heart	Heart		#D56F80	Tissue	HEART	91	male	tissue			embryonic	Roadmap 2015
BSS01506	right atrium auricular region female adult (51 year)	right atrium auricular region	Heart		#D56F80	Tissue	HEART RIGHT ATRIUM	51	female	tissue			adult	ENCODE
BSS00494	heart embryo (59 days) and female embryo (76 days)	heart	Heart		#D56F80	Tissue	HEART	59,76	unknown/mixed	tissue			embryonic	ENCODE
BSS00495	heart embryo (80 days)	heart	Heart		#D56F80	Tissue	HEART	80	unknown/mixed	tissue			embryonic	ENCODE
BSS00496	heart embryo (96 days)	heart	Heart		#D56F80	Tissue	HEART	96	unknown/mixed	tissue			embryonic	Roadmap (Novel)
BSS00498	heart female embryo (103 days)	heart	Heart		#D56F80	Tissue	HEART	103	female	tissue			embryonic	Roadmap (Novel)
BSS00499	heart female embryo (105 days)	heart	Heart		#D56F80	Tissue	HEART	105	female	tissue			embryonic	Roadmap (Novel)
BSS00500	heart female embryo (110 days)	heart	Heart		#D56F80	Tissue	HEART	110	female	tissue			embryonic	Roadmap (Novel)
BSS00501	heart female embryo (116 days) and female embryo (98 days)	heart	Heart		#D56F80	Tissue	HEART	116,98	female	tissue			embryonic	ENCODE
BSS00502	heart female embryo (117 days)	heart	Heart		#D56F80	Tissue	HEART	117	female	tissue			embryonic	Roadmap (Novel)
BSS00503	heart female embryo (147 days)	heart	Heart		#D56F80	Tissue	HEART	147	female	tissue			embryonic	Roadmap (Novel)
BSS00505	heart female embryo (91 day)	heart	Heart		#D56F80	Tissue	HEART	91	female	tissue			embryonic	Roadmap (Novel)
BSS00508	heart left ventricle female embryo (101 day) and female embryo (103 days)	heart left ventricle	Heart		#D56F80	Tissue	HEART LEFT VENTRICLE	103,101	female	tissue			embryonic	ENCODE
BSS00509	heart left ventricle female embryo (136 days)	heart left ventricle	Heart		#D56F80	Tissue	HEART LEFT VENTRICLE	136	female	tissue			embryonic	ENCODE
BSS00514	heart male adult (27 years) and male adult (35 years)	heart	Heart		#D56F80	Tissue	HEART	35,27	male	tissue			adult	ENCODE
BSS00516	heart male child (3 years)	heart	Heart		#D56F80	Tissue	HEART	3	male	tissue			child	Roadmap (Novel)
BSS00518	heart male embryo (110 days)	heart	Heart		#D56F80	Tissue	HEART	110	male	tissue			embryonic	Roadmap (Novel)
BSS00519	heart male embryo (120 days)	heart	Heart		#D56F80	Tissue	HEART	120	male	tissue			embryonic	Roadmap (Novel)
BSS00520	heart male embryo (72 days) and male embryo (76 days)	heart	Heart		#D56F80	Tissue	HEART	72,76	male	tissue			embryonic	ENCODE
BSS00522	heart male embryo (96 days)	heart	Heart		#D56F80	Tissue	HEART	96	male	tissue			embryonic	Roadmap 2015
BSS00523	heart right ventricle female embryo (101 day) and female embryo (103 days)	heart right ventricle	Heart		#D56F80	Tissue	HEART RIGHT VENTRICLE	101,103	female	tissue			embryonic	ENCODE
BSS01127	left cardiac atrium female embryo (101 day)	left cardiac atrium	Heart		#D56F80	Tissue	HEART LEFT ATRIUM	101	female	tissue			embryonic	ENCODE
BSS01838	tibial artery male adult (37 years)	tibial artery	Heart		#D56F80	Tissue	TIBIAL ARTERY	37	male	tissue			adult	ENCODE
BSS01088	kidney female embryo (120 days)	kidney	Kidney		#660000	Tissue	KIDNEY	120	female	tissue			embryonic	Roadmap 2015
BSS01096	kidney male adult (50 years)	kidney	Kidney		#660000	Tissue	KIDNEY	50	male	tissue			adult	Roadmap (Novel)
BSS01097	kidney male adult (67 years)	kidney	Kidney		#660000	Tissue	KIDNEY	67	male	tissue			adult	Roadmap (Novel)
BSS00526	HEK293	HEK293	Kidney		#660000	Tissue	KIDNEY CELL	unknown	female	cell line			embryonic	ENCODE
BSS00528	HEK293T	HEK293T	Kidney		#660000	Tissue	KIDNEY CELL	unknown	female	cell line			embryonic	ENCODE
BSS01078	kidney embryo (59 days) and female embryo (59 days)	kidney	Kidney		#660000	Tissue	KIDNEY	59	unknown/mixed	tissue			embryonic	ENCODE
BSS01079	kidney embryo (80 days)	kidney	Kidney		#660000	Tissue	KIDNEY	80	unknown/mixed	tissue			embryonic	ENCODE
BSS01084	kidney female embryo (105 days)	kidney	Kidney		#660000	Tissue	KIDNEY	105	female	tissue			embryonic	Roadmap (Novel)
BSS01085	kidney female embryo (108 days)	kidney	Kidney		#660000	Tissue	KIDNEY	108	female	tissue			embryonic	Roadmap (Novel)
BSS01086	kidney female embryo (113 days)	kidney	Kidney		#660000	Tissue	KIDNEY	113	female	tissue			embryonic	Roadmap (Novel)
BSS01089	kidney female embryo (121 day)	kidney	Kidney		#660000	Tissue	KIDNEY	121	female	tissue			embryonic	Roadmap (Novel)
BSS01090	kidney female embryo (76 days) and male embryo (76 days)	kidney	Kidney		#660000	Tissue	KIDNEY	76	unknown/mixed	tissue			embryonic	ENCODE
BSS01091	kidney female embryo (85 days)	kidney	Kidney		#660000	Tissue	KIDNEY	85	female	tissue			embryonic	Roadmap (Novel)
BSS01099	kidney male embryo (105 days)	kidney	Kidney		#660000	Tissue	KIDNEY	105	male	tissue			embryonic	Roadmap (Novel)
BSS01100	kidney male embryo (85 days)	kidney	Kidney		#660000	Tissue	KIDNEY	85	male	tissue			embryonic	Roadmap (Novel)
BSS01101	kidney male embryo (87 days)	kidney	Kidney		#660000	Tissue	KIDNEY	87	male	tissue			embryonic	Roadmap (Novel)
BSS01128	left kidney female embryo (107 days)	left kidney	Kidney		#660000	Tissue	KIDNEY	107	female	tissue			embryonic	Roadmap (Novel)
BSS01129	left kidney female embryo (110 days)	left kidney	Kidney		#660000	Tissue	KIDNEY	110	female	tissue			embryonic	Roadmap (Novel)
BSS01130	left kidney female embryo (147 days)	left kidney	Kidney		#660000	Tissue	KIDNEY	147	female	tissue			embryonic	Roadmap (Novel)
BSS01131	left kidney female embryo (59 days) and male embryo (91 day)	left kidney	Kidney		#660000	Tissue	KIDNEY	91,59	unknown/mixed	tissue			embryonic	ENCODE
BSS01132	left kidney female embryo (87 days)	left kidney	Kidney		#660000	Tissue	KIDNEY	87	female	tissue			embryonic	Roadmap (Novel)
BSS01133	left kidney female embryo (98 days)	left kidney	Kidney		#660000	Tissue	KIDNEY	98	female	tissue			embryonic	Roadmap (Novel)
BSS01134	left kidney male embryo (115 days)	left kidney	Kidney		#660000	Tissue	KIDNEY	115	male	tissue			embryonic	Roadmap (Novel)
BSS01135	left kidney male embryo (87 days)	left kidney	Kidney		#660000	Tissue	KIDNEY	87	male	tissue			embryonic	Roadmap (Novel)
BSS01136	left kidney male embryo (96 days)	left kidney	Kidney		#660000	Tissue	KIDNEY	96	male	tissue			embryonic	Roadmap (Novel)
BSS01150	left renal cortex interstitium male embryo (105 days)	left renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	105	male	tissue			embryonic	Roadmap (Novel)
BSS01151	left renal cortex interstitium male embryo (120 days)	left renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	120	male	tissue			embryonic	Roadmap (Novel)
BSS01152	left renal pelvis male embryo (105 days)	left renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	105	male	tissue			embryonic	Roadmap (Novel)
